"search-number","evaluation","conformity-level*","conformity-drawn*","n-neis*","p-random*","p-speaking-level*","p-speaking-drawn*","boundary*","boundary-drawn*","mode*","tolerance-level*","tolerance-drawn*","network-change*","random-network-change?*","n_centroids*","centroids_change*","centroid_color?*","killing_centroids?*","d_threshold*","polarisation-each-n-steps*","polar_repeats*","opinions*","model*","record-each-n-steps*","avoid-redundancies?*","set-seed?*","x-opinion*","y-opinion*","updating*","record-length*","construct-name?*","record?*","max-ticks*","hk-benchmark?*","n-agents*","fitness","num-replicates","best-fitness-so-far"
"1","5","0.71","""uniform""","21","0.32","0.733","""uniform""","0.14","""uniform""","""vaguely-speak""","0.77","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","0.886","5","0.886"
"1","10","0.54","""uniform""","4","0.3","0.227","""uniform""","0.15000000000000002","""uniform""","""vaguely-speak""","0.88","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","0.923","5","0.923"
"1","15","0.37","""uniform""","35","0.25","0.07","""uniform""","0.09999999999999999","""uniform""","""openly-listen""","0.48","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","0.972","5","0.972"
"1","20","0.45000000000000007","""uniform""","49","0.27","0.91","""uniform""","0.31","""uniform""","""vaguely-speak""","0.19","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","0.091","5","0.972"
"1","25","0.42000000000000004","""uniform""","22","0.27","0.784","""uniform""","0.06999999999999999","""uniform""","""vaguely-speak""","0.86","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","1.031","5","1.031"
"1","30","0.2","""uniform""","4","0.3","0.227","""uniform""","0.15000000000000002","""uniform""","""vaguely-speak""","0.88","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","0.974","5","1.031"
"1","35","0.55","""uniform""","22","0.27","0.784","""uniform""","0.06999999999999999","""uniform""","""vaguely-speak""","0.86","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","1.007","5","1.031"
"1","40","0.37","""uniform""","35","0.06","0.07","""uniform""","0.09999999999999999","""uniform""","""openly-listen""","0.48","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","0.983","5","1.031"
"2","5","0.2","""uniform""","35","0.15","0.9520000000000001","""uniform""","0.14","""uniform""","""vaguely-speak""","0.54","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","0.178","5","0.178"
"2","10","0.15000000000000002","""uniform""","62","0.12","0.002","""uniform""","0.28","""uniform""","""vaguely-speak""","0.6","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","0.058","5","0.178"
"2","15","0.33","""uniform""","32","0.18","0.162","""uniform""","0.04","""uniform""","""vaguely-speak""","0.97","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","0.965","5","0.965"
"2","20","0.37","""uniform""","14","0.24","0.548","""uniform""","0.29000000000000004","""uniform""","""vaguely-speak""","0.32","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","0","5","0.965"
"2","25","0.15000000000000002","""uniform""","14","0.01","0.382","""uniform""","0.19","""uniform""","""vaguely-speak""","0.45999999999999996","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","0.543","5","0.965"
"2","30","0.33","""uniform""","32","0.18","0.162","""uniform""","0.03","""uniform""","""vaguely-speak""","0.97","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","0.98","5","0.98"
"3","5","0.72","""uniform""","43","0","0.921","""uniform""","0.25","""uniform""","""openly-listen""","0.37","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","0.249","5","0.249"
"3","10","0.39","""uniform""","50","0.12","0.9570000000000001","""uniform""","0.23","""uniform""","""openly-listen""","0.95","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","0.339","5","0.339"
"3","15","0.59","""uniform""","37","0.08","0.428","""uniform""","0.2","""uniform""","""openly-listen""","0.18","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","0.353","5","0.353"
"3","20","0.32","""uniform""","35","0.01","0.048","""uniform""","0.26","""uniform""","""openly-listen""","0.98","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","0.404","5","0.404"
"3","25","0.69","""uniform""","43","0.35000000000000003","0.465","""uniform""","0.33","""uniform""","""vaguely-speak""","0.82","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","0","5","0.404"
"3","30","0.39","""uniform""","37","0.08","0.428","""uniform""","0.2","""uniform""","""openly-listen""","0.18","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","0.291","5","0.404"
"3","35","0.59","""uniform""","50","0.12","0.9570000000000001","""uniform""","0.23","""uniform""","""openly-listen""","0.95","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","0.421","5","0.421"
"3","40","0.59","""uniform""","36","0.08","0.428","""uniform""","0.2","""uniform""","""openly-listen""","0.18","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","0.331","5","0.421"
